PPDA Serie A 2018/2019,,,
PPDA Home,Home Team,PPDA Away,Away Team
7.12,Parma Calcio 1913,19.06,Bologna
6.95,Sassuolo,7.03,Torino
15.44,Udinese,11.04,Frosinone
12.12,Chievo,6.77,Inter
24.63,Empoli,8.4,Sampdoria
9.26,Genoa,5.52,Atalanta
9.86,Juventus,8.93,Roma
7.81,Atalanta,15.38,Juventus
13.41,Bologna,7.62,Lazio
8.27,Cagliari,11.2,Genoa
4.45,Fiorentina,14.35,Parma Calcio 1913
19.79,Frosinone,6.42,AC Milan
18.13,Inter,13.44,Napoli
9.08,Roma,9.5,Sassuolo
7.83,Sampdoria,7.88,Chievo
11.1,SPAL 2013,10.28,Udinese
8.35,Torino,18.55,Empoli
7.2,Chievo,13.38,Frosinone
22.28,Empoli,12.88,Inter
7.97,Genoa,8.5,Fiorentina
9.63,Juventus,10.69,Sampdoria
6.41,Lazio,5.62,Torino
7.78,AC Milan,18.35,SPAL 2013
6.23,Napoli,32.1,Bologna
19.31,Parma Calcio 1913,5.78,Roma
9.29,Sassuolo,8.07,Atalanta
9.16,Udinese,11.57,Cagliari
9.37,Cagliari,14.48,Empoli
10.26,Fiorentina,5.49,Sampdoria
22.11,Frosinone,10.11,Atalanta
12.88,Genoa,8.21,AC Milan
6.97,Inter,15.5,Sassuolo
11.37,Juventus,18.45,Chievo
13,Napoli,12.78,Lazio
4.81,Roma,4.26,Torino
7.16,SPAL 2013,7.37,Bologna
5.11,Udinese,10.32,Parma Calcio 1913
21.73,AC Milan,15.55,Napoli
16.25,Parma Calcio 1913,6,SPAL 2013
6.49,Sampdoria,13.05,Udinese
21.21,Sassuolo,6.71,Cagliari
9.53,Torino,4,Inter
7.68,Atalanta,16.09,Roma
9.61,Bologna,14.75,Frosinone
7.45,Chievo,9.79,Fiorentina
17.5,Empoli,16,Genoa
9.57,Lazio,10.35,Juventus
6.25,SPAL 2013,5.92,Torino
15.63,Udinese,5.73,Fiorentina
10.88,Cagliari,11.59,Atalanta
